提案ID,テスト区分,根拠カテゴリ,根拠ID,差分概要,テスト軸,入力値,期待確認内容,備考
P-052,差分,選択肢,質問No:29,選択肢「」追加（質問:「BHK=1」）,BHK=1,,「」が選択肢に表示され、選択したとき正しく動作すること,新規選択肢の確認
P-053,差分,選択肢,質問No:29,選択肢「1」追加（質問:「BHK=1」）,BHK=1,1,「1」が選択肢に表示され、選択したとき正しく動作すること,新規選択肢の確認
P-054,差分,選択肢,質問No:33,選択肢「」追加（質問:「S4A=0.91」）,S4A=0.91,,「」が選択肢に表示され、選択したとき正しく動作すること,新規選択肢の確認
P-055,差分,選択肢,質問No:33,選択肢「」追加（質問:「S4A=0.91」）,S4A=0.91,,「」が選択肢に表示され、選択したとき正しく動作すること,新規選択肢の確認
P-056,差分,選択肢,質問No:33,選択肢「」追加（質問:「S4A=0.91」）,S4A=0.91,,「」が選択肢に表示され、選択したとき正しく動作すること,新規選択肢の確認
P-057,差分,選択肢,質問No:33,選択肢「0.91」追加（質問:「S4A=0.91」）,S4A=0.91,0.91,「0.91」が選択肢に表示され、選択したとき正しく動作すること,新規選択肢の確認
P-058,差分,選択肢,質問No:36,選択肢「」追加（質問:「S5A=5.3」）,S5A=5.3,,「」が選択肢に表示され、選択したとき正しく動作すること,新規選択肢の確認
P-059,差分,選択肢,質問No:36,選択肢「」追加（質問:「S5A=5.3」）,S5A=5.3,,「」が選択肢に表示され、選択したとき正しく動作すること,新規選択肢の確認
P-060,差分,選択肢,質問No:36,選択肢「」追加（質問:「S5A=5.3」）,S5A=5.3,,「」が選択肢に表示され、選択したとき正しく動作すること,新規選択肢の確認
P-061,差分,選択肢,質問No:36,選択肢「5.3」追加（質問:「S5A=5.3」）,S5A=5.3,5.3,「5.3」が選択肢に表示され、選択したとき正しく動作すること,新規選択肢の確認
P-062,差分,選択肢,質問No:39,選択肢「」追加（質問:「S5T=0」）,S5T=0,,「」が選択肢に表示され、選択したとき正しく動作すること,新規選択肢の確認
P-063,差分,選択肢,質問No:39,選択肢「」追加（質問:「S5T=0」）,S5T=0,,「」が選択肢に表示され、選択したとき正しく動作すること,新規選択肢の確認
P-064,差分,選択肢,質問No:39,選択肢「」追加（質問:「S5T=0」）,S5T=0,,「」が選択肢に表示され、選択したとき正しく動作すること,新規選択肢の確認
P-065,差分,選択肢,質問No:39,選択肢「0」追加（質問:「S5T=0」）,S5T=0,0,「0」が選択肢に表示され、選択したとき正しく動作すること,新規選択肢の確認
P-066,差分,選択肢,質問No:31,選択肢「」削除（質問:「資料区分」）,資料区分,任意,「」が選択肢に表示されないこと,削除選択肢の非表示確認
P-067,差分,選択肢,質問No:31,選択肢「」削除（質問:「資料区分」）,資料区分,任意,「」が選択肢に表示されないこと,削除選択肢の非表示確認
P-068,差分,選択肢,質問No:31,選択肢「」削除（質問:「資料区分」）,資料区分,任意,「」が選択肢に表示されないこと,削除選択肢の非表示確認
P-069,差分,選択肢,質問No:31,選択肢「1」削除（質問:「資料区分」）,資料区分,任意,「1」が選択肢に表示されないこと,削除選択肢の非表示確認
P-070,差分,選択肢,質問No:37,選択肢「」削除（質問:「クーリングタワー延運転時間(台数分合計)」）,クーリングタワー延運転時間(台数分合計),任意,「」が選択肢に表示されないこと,削除選択肢の非表示確認
P-071,差分,選択肢,質問No:37,選択肢「」削除（質問:「クーリングタワー延運転時間(台数分合計)」）,クーリングタワー延運転時間(台数分合計),任意,「」が選択肢に表示されないこと,削除選択肢の非表示確認
P-072,差分,選択肢,質問No:37,選択肢「」削除（質問:「クーリングタワー延運転時間(台数分合計)」）,クーリングタワー延運転時間(台数分合計),任意,「」が選択肢に表示されないこと,削除選択肢の非表示確認
P-073,差分,選択肢,質問No:37,選択肢「0」削除（質問:「クーリングタワー延運転時間(台数分合計)」）,クーリングタワー延運転時間(台数分合計),任意,「0」が選択肢に表示されないこと,削除選択肢の非表示確認
P-074,差分,フロー,BoxNo:1,フロー「省庁区分」変更（BoxNo:1）,省庁区分,（表示された質問に回答）,「省庁区分」の遷移先が正しいこと,フロー変更: 質問No:13 CallBox:[26]→質問No:13 CallBox:[8]
P-075,差分,フロー,BoxNo:25,フロー「終点」変更（BoxNo:25）,終点,（表示された質問に回答）,「終点」の遷移先が正しいこと,フロー変更: 質問No:30 CallBox:[]→質問No:28 CallBox:[]
P-076,差分,フロー,BoxNo:28,フロー「BHK=1」変更（BoxNo:28）,BHK=1,（表示された質問に回答）,「BHK=1」の遷移先が正しいこと,フロー変更: 質問No:31 CallBox:[23]→質問No:29 CallBox:[25]
P-077,差分,フロー,BoxNo:29,フロー「歩掛補正係数」変更（BoxNo:29）,歩掛補正係数,（表示された質問に回答）,「歩掛補正係数」の遷移先が正しいこと,フロー変更: 質問No:15 CallBox:[23]→質問No:15 CallBox:[25]
P-078,差分,フロー,BoxNo:31,フロー「空気圧縮機規格選択」変更（BoxNo:31）,空気圧縮機規格選択,（表示された質問に回答）,「空気圧縮機規格選択」の遷移先が正しいこと,フロー変更: 質問No:32 CallBox:[6]→質問No:30 CallBox:[6]
P-079,差分,フロー,BoxNo:32,フロー「資料区分」変更（BoxNo:32）,資料区分,（表示された質問に回答）,「資料区分」の遷移先が正しいこと,"フロー変更: 質問No:33 CallBox:[31, 33]→質問No:31 CallBox:[31, 33]"
P-080,差分,フロー,BoxNo:33,フロー「空気圧縮機規格選択」変更（BoxNo:33）,空気圧縮機規格選択,（表示された質問に回答）,「空気圧縮機規格選択」の遷移先が正しいこと,フロー変更: 質問No:34 CallBox:[6]→質問No:32 CallBox:[6]
P-081,差分,フロー,BoxNo:34,フロー「S4A=0.91」変更（BoxNo:34）,S4A=0.91,（表示された質問に回答）,「S4A=0.91」の遷移先が正しいこと,フロー変更: 質問No:35 CallBox:[5]→質問No:33 CallBox:[5]
P-082,差分,フロー,BoxNo:35,フロー「空気圧縮機延運転時間(台数分合計)」変更（BoxNo:35）,空気圧縮機延運転時間(台数分合計),（表示された質問に回答）,「空気圧縮機延運転時間(台数分合計)」の遷移先が正しいこと,フロー変更: 質問No:36 CallBox:[37]→質問No:34 CallBox:[37]
P-083,差分,フロー,BoxNo:38,フロー「S4A=0」変更（BoxNo:38）,S4A=0,（表示された質問に回答）,「S4A=0」の遷移先が正しいこと,フロー変更: 質問No:37 CallBox:[7]→質問No:35 CallBox:[7]
P-084,差分,フロー,BoxNo:39,フロー「S5A=5.3」変更（BoxNo:39）,S5A=5.3,（表示された質問に回答）,「S5A=5.3」の遷移先が正しいこと,フロー変更: 質問No:38 CallBox:[44]→質問No:36 CallBox:[44]
P-085,差分,フロー,BoxNo:40,フロー「クーリングタワー延運転時間(台数分合計)」変更（BoxNo:40）,クーリングタワー延運転時間(台数分合計),（表示された質問に回答）,「クーリングタワー延運転時間(台数分合計)」の遷移先が正しいこと,フロー変更: 質問No:39 CallBox:[43]→質問No:37 CallBox:[43]
P-086,差分,フロー,BoxNo:41,フロー「S5A=0」変更（BoxNo:41）,S5A=0,（表示された質問に回答）,「S5A=0」の遷移先が正しいこと,フロー変更: 質問No:40 CallBox:[42]→質問No:38 CallBox:[42]
P-087,差分,フロー,BoxNo:42,フロー「S5T=0」変更（BoxNo:42）,S5T=0,（表示された質問に回答）,「S5T=0」の遷移先が正しいこと,フロー変更: 質問No:41 CallBox:[16]→質問No:39 CallBox:[16]
P-088,差分,フロー,BoxNo:8,フロー「運転日数」追加（BoxNo:8）,運転日数,（表示された質問に回答）,「運転日数」を経由後「クーリングタワー使用の有無」へ遷移すること,フロー追加の遷移確認
P-089,差分,フロー,BoxNo:23,フロー「S3=代価表1枚目数量1行目」削除（BoxNo:23）,任意,任意,「S3=代価表1枚目数量1行目」へのフロー遷移が発生しないこと,フロー削除の確認
P-090,差分,フロー,BoxNo:24,フロー「S4=代価表1枚目数量2行目」削除（BoxNo:24）,任意,任意,「S4=代価表1枚目数量2行目」へのフロー遷移が発生しないこと,フロー削除の確認
P-091,差分,フロー,BoxNo:45,フロー「S5=代価表1枚目数量3行目」削除（BoxNo:45）,任意,任意,「S5=代価表1枚目数量3行目」へのフロー遷移が発生しないこと,フロー削除の確認
P-092,回帰,-,-,既存パスへの影響なし確認,BHK=1,既存の選択肢,旧バージョンと同じ結果になること,差分テスト軸の既存値での回帰確認
P-093,回帰,-,-,既存パスへの影響なし確認,S4A=0,既存の選択肢,旧バージョンと同じ結果になること,差分テスト軸の既存値での回帰確認
P-094,回帰,-,-,既存パスへの影響なし確認,S4A=0.91,既存の選択肢,旧バージョンと同じ結果になること,差分テスト軸の既存値での回帰確認
P-095,回帰,-,-,既存パスへの影響なし確認,S5A=0,既存の選択肢,旧バージョンと同じ結果になること,差分テスト軸の既存値での回帰確認
P-096,回帰,-,-,既存パスへの影響なし確認,S5A=5.3,既存の選択肢,旧バージョンと同じ結果になること,差分テスト軸の既存値での回帰確認
P-097,回帰,-,-,既存パスへの影響なし確認,S5T=0,既存の選択肢,旧バージョンと同じ結果になること,差分テスト軸の既存値での回帰確認
P-098,回帰,-,-,既存パスへの影響なし確認,クーリングタワー延運転時間(台数分合計),既存の選択肢,旧バージョンと同じ結果になること,差分テスト軸の既存値での回帰確認
P-099,回帰,-,-,既存パスへの影響なし確認,歩掛補正係数,既存の選択肢,旧バージョンと同じ結果になること,差分テスト軸の既存値での回帰確認
P-100,回帰,-,-,既存パスへの影響なし確認,省庁区分,既存の選択肢,旧バージョンと同じ結果になること,差分テスト軸の既存値での回帰確認
P-101,回帰,-,-,既存パスへの影響なし確認,空気圧縮機延運転時間(台数分合計),既存の選択肢,旧バージョンと同じ結果になること,差分テスト軸の既存値での回帰確認
P-102,回帰,-,-,既存パスへの影響なし確認,空気圧縮機規格選択,既存の選択肢,旧バージョンと同じ結果になること,差分テスト軸の既存値での回帰確認
P-103,回帰,-,-,既存パスへの影響なし確認,終点,既存の選択肢,旧バージョンと同じ結果になること,差分テスト軸の既存値での回帰確認
P-104,回帰,-,-,既存パスへの影響なし確認,資料区分,既存の選択肢,旧バージョンと同じ結果になること,差分テスト軸の既存値での回帰確認
P-105,回帰,-,-,既存パスへの影響なし確認,運転日数,既存の選択肢,旧バージョンと同じ結果になること,差分テスト軸の既存値での回帰確認
