提案ID,テスト区分,根拠カテゴリ,根拠ID,差分概要,テスト軸,入力値,期待確認内容,備考
P-055,差分,選択肢,質問No:12,選択肢「適用労務選択方法の切替」追加（質問:「適用労務選択方法の切替」）,適用労務選択方法の切替,適用労務選択方法の切替,「適用労務選択方法の切替」が選択肢に表示され、選択したとき正しく動作すること,新規選択肢の確認
P-056,差分,選択肢,質問No:12,選択肢「普通作業員を適用」追加（質問:「適用労務選択方法の切替」）,適用労務選択方法の切替,普通作業員を適用,「普通作業員を適用」が選択肢に表示され、選択したとき正しく動作すること,新規選択肢の確認
P-057,差分,選択肢,質問No:12,選択肢「普通作業員、山林砂防工から選択」追加（質問:「適用労務選択方法の切替」）,適用労務選択方法の切替,普通作業員、山林砂防工から選択,「普通作業員、山林砂防工から選択」が選択肢に表示され、選択したとき正しく動作すること,新規選択肢の確認
P-058,差分,選択肢,質問No:2,選択肢「24」削除（質問:「作業内容」）,作業内容,任意,「24」が選択肢に表示されないこと,削除選択肢の非表示確認
P-059,差分,選択肢,質問No:3,選択肢「24」削除（質問:「作業内容」）,作業内容,任意,「24」が選択肢に表示されないこと,削除選択肢の非表示確認
P-060,差分,フロー,BoxNo:1,フロー「適用労務選択方法の切替」変更（BoxNo:1）,適用労務選択方法の切替,（表示された質問に回答）,「適用労務選択方法の切替」の遷移先が正しいこと,"フロー変更: 質問No:1 CallBox:[16]→質問No:12 CallBox:[2, 3]"
P-061,差分,フロー,BoxNo:2,フロー「労務費の適用」変更（BoxNo:2）,労務費の適用,（表示された質問に回答）,「労務費の適用」の遷移先が正しいこと,フロー変更: 質問No:2 CallBox:[15]→質問No:13 CallBox:[4]
P-062,差分,フロー,BoxNo:3,フロー「労務費の適用」変更（BoxNo:3）,労務費の適用,（表示された質問に回答）,「労務費の適用」の遷移先が正しいこと,"フロー変更: 質問No:4 CallBox:[2, 4]→質問No:14 CallBox:[4]"
P-063,差分,フロー,BoxNo:4,フロー「終点」変更（BoxNo:4）,終点,（表示された質問に回答）,「終点」の遷移先が正しいこと,フロー変更: 質問No:3 CallBox:[15]→質問No:17 CallBox:[]
P-064,差分,フロー,BoxNo:5,フロー「材料の選択(土のう)」変更（BoxNo:5）,材料の選択(土のう),（表示された質問に回答）,「材料の選択(土のう)」の遷移先が正しいこと,フロー変更: 質問No:7 CallBox:[13]→質問No:7 CallBox:[11]
P-065,差分,フロー,BoxNo:13,フロー「終点」変更（BoxNo:13）,終点,（表示された質問に回答）,「終点」の遷移先が正しいこと,フロー変更: 質問No:12 CallBox:[]→質問No:16 CallBox:[]
P-066,差分,フロー,BoxNo:19,フロー「BoxNo:19」変更（BoxNo:19）,BoxNo:19,（表示された質問に回答）,「BoxNo:19」の遷移先が正しいこと,フロー変更: 質問No:None CallBox:[13]→質問No:None CallBox:[11]
P-067,差分,フロー,BoxNo:11,フロー「フロー切替:適用労務切替(山林砂防工)」追加（BoxNo:11）,フロー切替:適用労務切替(山林砂防工),（表示された質問に回答）,「フロー切替:適用労務切替(山林砂防工)」を経由後「終点」へ遷移すること,フロー追加の遷移確認
P-068,回帰,-,-,既存パスへの影響なし確認,BoxNo:19,既存の選択肢,旧バージョンと同じ結果になること,差分テスト軸の既存値での回帰確認
P-069,回帰,-,-,既存パスへの影響なし確認,フロー切替:適用労務切替(山林砂防工),既存の選択肢,旧バージョンと同じ結果になること,差分テスト軸の既存値での回帰確認
P-070,回帰,-,-,既存パスへの影響なし確認,労務費の適用,既存の選択肢,旧バージョンと同じ結果になること,差分テスト軸の既存値での回帰確認
P-071,回帰,-,-,既存パスへの影響なし確認,材料の選択(土のう),既存の選択肢,旧バージョンと同じ結果になること,差分テスト軸の既存値での回帰確認
P-072,回帰,-,-,既存パスへの影響なし確認,終点,既存の選択肢,旧バージョンと同じ結果になること,差分テスト軸の既存値での回帰確認
P-073,回帰,-,-,既存パスへの影響なし確認,適用労務選択方法の切替,既存の選択肢,旧バージョンと同じ結果になること,差分テスト軸の既存値での回帰確認
